source,availability,indexed_by_unit_finder,indexed_by_bridge_engine,searchable_by_unit_finder,searchable_by_bridge_engine,contains_listing_urls,contains_listing_ids,contains_broker_references,contains_permit_numbers,contains_property_numbers,contains_plot_numbers,contains_building_names,contains_unit_numbers,evidence
126 acquired property datasets (acquisition_index + raw_data),AVAILABLE,YES,PARTIAL,YES,PARTIAL,YES,YES,NO_VERIFIED_STRUCTURED_INDEX,YES,YES,YES,YES,YES,acquisition_index=6256 files; unit_resolver_index=26166 rows; 25945 rows sourced from raw_data; bridge manifest shows 221 url records / 217 listing ids / 15 permit / 149 property / 317 plot-land.
Home Sweet Home inventory (local HSHObject1 raw),AVAILABLE,YES,PARTIAL,YES,PARTIAL,NO_VERIFIED,NO_VERIFIED,NO_VERIFIED,NO_VERIFIED,NO_VERIFIED,NO_VERIFIED,YES,YES,"resolver rows matching HSHObject1=748; sampled workbook shows District=JVC with columns unique name, floor, unit number, bedrooms, area, price."
Google Drive synchronized knowledge - Listings.xlsx / Listings (1).xlsx,AVAILABLE_VIA_CONNECTOR,NO,NO,NO,NO,NO,YES,YES,YES,NO_VERIFIED,NO_VERIFIED,YES,YES,"Drive fetch shows columns ID, Reference, Transaction Number, Permit Number, Location 1-6, Beds, Baths, Area, Unit No, Portals; overlap checks for refs/listing_ids/permits in current resolver+bridge returned false."
Google Drive synchronized knowledge - Active Listings.xlsx,AVAILABLE_VIA_CONNECTOR,NO,NO,NO,NO,NO,YES,YES,YES,NO_VERIFIED,NO_VERIFIED,YES,YES,"Drive fetch shows Listing ID, Reference No., Unit Number, Permit Number, Portal=Bayut, area/building/unit/price rows; not present in current resolver/bridge tables."
Google Drive synchronized knowledge - Secondary Listings LINKS EXCEL.xlsx,AVAILABLE_VIA_CONNECTOR,NO,NO,NO,NO,YES,YES,NO_VERIFIED,NO,NO,NO,YES,NO,"Drive fetch shows Property Link with Property Finder URLs, listing IDs inside URLs, bed/size/price/location, but no unit/permit columns."
Google Drive synchronized knowledge - BAYUT OVER ALL LEAD.xlsx,AVAILABLE_VIA_CONNECTOR,NO,NO,NO,NO,YES,YES,YES,NO_VERIFIED,NO_VERIFIED,NO_VERIFIED,YES,NO,"Drive fetch shows Listing ID, Reference No., location/sub-location, Bayut links embedded in message text, agent and lead context; no unit column observed."
Local AIOS Knowledge Base root,AVAILABLE,PARTIAL,PARTIAL,PARTIAL,PARTIAL,YES,YES,NO_VERIFIED_STRUCTURED_INDEX,YES,YES,YES,YES,YES,"KnowledgeBase contains raw_data, organized_master, resolver, BridgeEngine, PropertyGraph, Bitrix24, Operations_Corpus; current engines mainly ingest resolver/unit_resolver_index plus graph derivatives, not the full root."
Reportage datasets,AVAILABLE,YES,PARTIAL,YES,PARTIAL,NO_VERIFIED,NO_VERIFIED,NO_VERIFIED,NO_VERIFIED,NO_VERIFIED,NO_VERIFIED,YES,YES,"72 raw files; resolver rows matching Reportage_Inventory=20506; bridge rows matching Reportage=60; sampled workbook is availability list style, mostly unit/building/inventory data."
TIGER datasets,AVAILABLE,YES,PARTIAL,YES,PARTIAL,NO_VERIFIED,NO_VERIFIED,NO_VERIFIED,NO_VERIFIED,NO_VERIFIED,NO_VERIFIED,YES,YES,"5 raw files; resolver rows matching TIGER=330; bridge rows matching TIGER=6; sampled workbook contains Unit, Type, Net(sqft), Original Price, Status across project sheets."
Dubai Brokers datasets,AVAILABLE,NO,NO,NO,NO,NO,NO,NO_VERIFIED,NO,NO,NO,YES,YES,"1 raw file; resolver rows matching Dubai_brokers=0; sampled workbook has Project, Floor Number, Flat No., Unit Number, Price, Location/View, Unit Status."
Bitrix exports / CRM-style raw data,AVAILABLE,NO,NO,NO,NO,NO_VERIFIED_LOCAL_RAW,NO_VERIFIED_LOCAL_RAW,NO_VERIFIED_LOCAL_RAW,NO_VERIFIED_LOCAL_RAW,NO_VERIFIED_LOCAL_RAW,NO_VERIFIED_LOCAL_RAW,NO_VERIFIED_LOCAL_RAW,NO_VERIFIED_LOCAL_RAW,"Bitrix24/raw exists with messages.csv and metadata exports, but current local raw scan found no verified listing bridge fields and resolver/bridge rows matching Bitrix=0."
Runtime Memory Ledger / AIOS memory archives,AVAILABLE,NO,NO,NO,NO,POSSIBLE_IN_TEXT_ARCHIVE,POSSIBLE_IN_TEXT_ARCHIVE,POSSIBLE_IN_TEXT_ARCHIVE,POSSIBLE_IN_TEXT_ARCHIVE,POSSIBLE_IN_TEXT_ARCHIVE,POSSIBLE_IN_TEXT_ARCHIVE,POSSIBLE_IN_TEXT_ARCHIVE,POSSIBLE_IN_TEXT_ARCHIVE,"Files exist: OPENAI_MEMORY_ARCHIVE_MANIFEST.txt, OPENAI_MEMORY_MASTER_ARCHIVE.zip, unified memory runtime/report files. They are not part of current property indexing."
Previously indexed property graph data,AVAILABLE,N/A_DERIVED_LAYER,YES,INDIRECT,YES,YES,YES,NO,YES,YES,YES,YES,YES,"PropertyGraph summary: resolver_records=26166, canonical_properties=83, bridge_rows=332, public_listing_cpid_count=1, bridge_status waiting_for_data=209; current graph is searchable but under-connected."
"Mac local AIOS folders outside KnowledgeBase (AIOS_KNOWLEDGE_CONTROL, AIOS_MAC_TRANSFER, outputs/AIOS)",AVAILABLE,NO,NO,NO,NO,NO_VERIFIED,NO_VERIFIED,NO_VERIFIED,NO_VERIFIED,NO_VERIFIED,NO_VERIFIED,NO_VERIFIED,NO_VERIFIED,"Sampled files are status/control docs and transfer notes, not property bridge datasets."
