cluster_type,rank,resolver_record_id,source_file,source_path,source_chat_group,source_sheet,row_number,source_platform,listing_id,listing_url,permit_number,property_number,plot_number,land_number,municipality_number,dewa_number,area,project,building,unit,bedrooms,size,price,developer,owner_contact_available,match_basis,confidence_score,evidence_note
similarity_top_candidate,1,raw-e6d971645320b9b2,raw_chat_style_dataset,,,,466,,,,,,,,,,Dubai Marina,,ocean heights,,2,148.64 sqm,3000000.0,,NO,LIKELY_MATCH,80,"[""same_area:+10"", ""same_building:+20"", ""same_area_and_building_strong:+35"", ""same_property_type:+5"", ""text_overlap_50:+10""]"
raw_chat_neighbor,,,raw_chat_style_dataset,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/csv/5ca554ad55ac__omar_style_dataset_sample.csv,Brok5 Remove,,458,,,,,,,,,,,,,,,,,,NO,,,"Binghatti Gardenia JVC 2 bed with pool 1,113 Sqft rented at 150k till May 2027 Asking price 1.45 M"
raw_chat_neighbor,,,raw_chat_style_dataset,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/csv/5ca554ad55ac__omar_style_dataset_sample.csv,Brok5 Remove,,459,,,,,,,,,,,,,,,,,,NO,,,Discovery Garden building Mogul 183 Studio 1 bath 490 sqft vacant on transfer Asking price 700k
raw_chat_neighbor,,,raw_chat_style_dataset,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/csv/5ca554ad55ac__omar_style_dataset_sample.csv,Brok5 Remove,,460,,,,,,,,,,,,,,,,,,NO,,,"Binghatti Avenue,Al jaddaf Dubai 1 bed 2 bath 709 Sqft ROI 15 % Burj Khalifa View Asking price 1.3 M"
raw_chat_neighbor,,,raw_chat_style_dataset,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/csv/5ca554ad55ac__omar_style_dataset_sample.csv,Brok5 Remove,,461,,,,,,,,,,,,,,,,,,NO,,,*Dubai Land* *Furnished* 1 BHK Balcony *Durar 1 DLRC* Rented on 60k till August Size 753 sf Price 875K *Vacant* 2 BHK Balcony *Durar 1 DLRC* Size 1116 sf Price 1.2M Studio for sale in MAG330
raw_chat_neighbor,,,raw_chat_style_dataset,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/csv/5ca554ad55ac__omar_style_dataset_sample.csv,Brok5 Remove,,462,,,,,,,,,,,,,,,,,,NO,,,Units For Sale or Rent DT views2 2bed 3.6M Burj Royale 2bed 2.88M 29 BLVD 2bed 2.59M DT views2 3bed 4.6M Boulevard Point 3BR 7.6M Burj Crown 3BR 4.1M Boulevard Point rent 180K Villa
raw_chat_neighbor,,,raw_chat_style_dataset,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/csv/5ca554ad55ac__omar_style_dataset_sample.csv,Brok5 Remove,,463,,,,,,,,,,,,,,,,,,NO,,,JIt. Armada 1. 3bed. . Rented till June 1. 2027 for 160k Size1340ft. Price is 2.2m
raw_chat_neighbor,,,raw_chat_style_dataset,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/csv/5ca554ad55ac__omar_style_dataset_sample.csv,Brok5 Remove,,464,,,,,,,,,,,,,,,,,,NO,,,JIt. Armada 1. Huge 1 bed. 24 floor. Rented till May 1. 2027 for 80k size 1016ft net area. Price 1.25
raw_chat_neighbor,,,raw_chat_style_dataset,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/csv/5ca554ad55ac__omar_style_dataset_sample.csv,Brok5 Remove,,465,,,,,,,,,,,,,,,,,,NO,,,Jlt. Armada 1. 3 bed. Fully upgraded. 2 parkings. 23 floor. Vacant!!! 1314 ft. Fully furnished ! 2.3m
raw_chat_neighbor,,,raw_chat_style_dataset,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/csv/5ca554ad55ac__omar_style_dataset_sample.csv,Brok5 Remove,,466,,,,,,,,,,,,,,,,,,NO,,,"Ocean Heights Dubai Marina 2 bed 2 bath 1,600 Sqft fully refurbished vacant Asking price 3 M"
raw_chat_neighbor,,,raw_chat_style_dataset,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/csv/5ca554ad55ac__omar_style_dataset_sample.csv,Brok5 Remove,,467,,,,,,,,,,,,,,,,,,NO,,,"Address Bayview Tower 2,Address Resorts Emaar Beachfront Dubai 2 bed 3 bath 1,432 Sqft Rare 04 series full Seaview /high floor direct beach access Asking price 8.5 M"
raw_chat_neighbor,,,raw_chat_style_dataset,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/csv/5ca554ad55ac__omar_style_dataset_sample.csv,Brok5 Remove,,468,,,,,,,,,,,,,,,,,,NO,,,"Miraclz Tower by Danube, Arjan Dubai 2 bed 3 bath 1,192 Sqft Furnished/Garden view Asking price 1.46 M"
raw_chat_neighbor,,,raw_chat_style_dataset,/Users/hassanka/Downloads/AIOS/KnowledgeBase/raw_data/csv/5ca554ad55ac__omar_style_dataset_sample.csv,Brok5 Remove,,469,,,,,,,,,,,,,,,,,,NO,,,Miraclz Tower Arjan 1 bed 759 Sqft Asking price 1.1 M
